YEAR,MONTH,ENSO,IOD
1910,11,-1.1213,-0.1992
1910,12,-0.7826,-0.1931
1911,1,-0.5972,-0.4096
1911,2,-0.2285,-0.5271
1911,3,-0.0937,-0.4557
1911,4,0.0597,-0.5692
1911,5,0.4588,-0.266
1911,6,0.2976,0.0297
1911,7,0.6156,-0.03
1911,8,0.8023,0.0014
1911,9,1.1019,0.0439
1911,10,1.1576,0.0816
1911,11,1.6433,-0.0981
1911,12,1.6746,0.0345
1912,1,1.6193,0.3311
1912,2,1.7885,0.3975
1912,3,2.055,0.6456
1912,4,2.1651,0.5137
1912,5,2.3333,0.293
1912,6,2.4279,0.1977
1912,7,1.973,-0.0746
1912,8,1.6466,0.0179
1912,9,1.3254,-0.0151
1912,10,1.5045,-0.0052
1912,11,1.1337,0.1738
1912,12,0.9609,0.226
1913,1,0.6797,0.1081
1913,2,0.4845,-0.1152
1913,3,0.3907,0.0043
1913,4,-0.0239,-0.0939
1913,5,-0.3475,-0.1605
1913,6,-0.7478,-0.0906
1913,7,-1.0996,-0.198
1913,8,-1.1596,0.1281
1913,9,-1.3108,-0.0768
1913,10,-1.2274,0.0212
1913,11,-1.6334,-0.2842
1913,12,-1.6336,-0.3736
1914,1,-1.9497,-0.3147
1914,2,-2.111,-0.5311
1914,3,-2.1008,-0.4284
1914,4,-2.0521,-0.3817
1914,5,-1.5772,-0.271
1914,6,-1.9403,-0.021
1914,7,-1.5821,-0.0595
1914,8,-1.7071,-0.1464
1914,9,-1.2724,-0.0643
1914,10,-1.1755,0.054
1914,11,-1.0625,0.0934
1914,12,-0.8399,0.0437
1915,1,-0.7203,0.2564
1915,2,-0.3413,0.4081
1915,3,-0.2646,0.5114
1915,4,-0.1743,0.4289
1915,5,0.0143,0.3975
1915,6,0.4157,0.2409
1915,7,0.795,0.2071
1915,8,0.733,0.1014
1915,9,0.8228,-0.0117
1915,10,0.9947,-0.0026
1915,11,1.2382,0.0987
1915,12,1.1448,0.0647
1916,1,1.0995,0.03
1916,2,1.3568,-0.0197
1916,3,1.2666,-0.0958
1916,4,1.4276,-0.2314
1916,5,1.2048,-0.1723
1916,6,0.9609,-0.1107
1916,7,0.8959,-0.2317
1916,8,1.2967,-0.0306
1916,9,1.2489,-0.0176
1916,10,0.8998,-0.0114
1916,11,0.8025,-0.1503
1916,12,1.0108,-0.4154
1917,1,0.5564,-0.537
1917,2,0.5195,-0.5078
1917,3,0.6822,-0.4133
1917,4,0.4595,-0.5777
1917,5,0.4518,-0.2349
1917,6,0.3627,-0.0349
1917,7,0.3726,-0.0528
1917,8,0.4672,0.04
1917,9,0.2025,-0.0562
1917,10,0.2161,0.0004
1917,11,-0.2605,-0.0679
1917,12,-0.0364,-0.0185
1918,1,-0.2362,0.3897
1918,2,-0.3778,0.3758
1918,3,-0.4169,0.5042
1918,4,-0.4301,0.428
1918,5,-0.3418,0.335
1918,6,-0.7807,0.2852
1918,7,-0.6819,0.087
1918,8,-0.8646,0.0669
1918,9,-0.9456,0.0362
1918,10,-0.8473,0.0544
1918,11,-1.0127,0.1066
1918,12,-0.9805,0.2563
1919,1,-1.2814,0.0363
1919,2,-1.4265,0.0512
1919,3,-1.4038,0.0456
1919,4,-1.3638,-0.0372
1919,5,-1.3832,-0.299
1919,6,-1.5598,-0.1941
1919,7,-1.3473,0.0039
1919,8,-1.2657,0.008
1919,9,-0.8364,0.0156
1919,10,-0.8215,-0.0561
1919,11,-1.0957,-0.18
1919,12,-0.8526,-0.2761
1920,1,-0.8497,-0.4562
1920,2,-0.5209,-0.5136
1920,3,-0.1717,-0.4893
1920,4,0.1871,-0.4549
1920,5,0.1299,-0.22
1920,6,0.3778,0.1031
1920,7,0.3894,-0.1827
1920,8,0.9168,0.0219
1920,9,1.001,-0.0608
1920,10,1.2847,0.0561
1920,11,1.4165,0.0655
1920,12,1.6937,0.23
1921,1,1.5762,0.4084
1921,2,1.7207,0.47
1921,3,2.3273,0.6312
1921,4,1.8462,0.3514
1921,5,1.8693,0.575
1921,6,2.2664,0.3292
1921,7,2.3466,0.2316
1921,8,1.6193,-0.061
1921,9,1.59,-0.0665
1921,10,1.5156,0.0404
1921,11,1.5149,0.0862
1921,12,0.8751,0.1527
1922,1,0.7347,0.2085
1922,2,0.6223,-0.0857
1922,3,0.2961,0.0329
1922,4,-0.1039,-0.1377
1922,5,-0.3438,-0.2015
1922,6,-0.7987,-0.2868
1922,7,-0.8841,-0.0645
1922,8,-1.1266,-0.2258
1922,9,-1.2679,0.0519
1922,10,-1.5759,-0.1581
1922,11,-1.5822,-0.145
1922,12,-1.6291,-0.3087
1923,1,-1.8515,-0.3425
1923,2,-1.8805,-0.5245
1923,3,-1.9481,-0.5512
1923,4,-1.9433,-0.4411
1923,5,-2.0047,-0.1607
1923,6,-1.7696,-0.0872
1923,7,-1.7224,-0.0714
1923,8,-1.2577,-0.0229
1923,9,-1.1762,-0.1254
1923,10,-1.1753,0.041
1923,11,-1.1534,-0.079
1923,12,-1.0007,0.2292
1924,1,-0.4435,0.3246
1924,2,-0.3688,0.6456
1924,3,-0.1244,0.4527
1924,4,-0.2521,0.5307
1924,5,0.3451,0.5916
1924,6,0.4579,0.3945
1924,7,0.3916,0.0897
1924,8,0.6382,0.0545
1924,9,0.8801,0.0002
1924,10,0.9597,0.0513
1924,11,0.9985,0.0316
1924,12,1.0964,0.1229
1925,1,1.1233,-0.0061
1925,2,1.2137,0.0664
1925,3,1.423,-0.009
1925,4,0.8122,-0.1565
1925,5,1.1418,-0.3144
1925,6,1.1711,-0.09
1925,7,1.1456,-0.0756
1925,8,0.9933,-0.0907
1925,9,0.7268,-0.0224
1925,10,0.9759,-0.1587
1925,11,1.1191,-0.2313
1925,12,0.5615,-0.3422
1926,1,0.8521,-0.3378
1926,2,0.6044,-0.5613
1926,3,0.5765,-0.4444
1926,4,0.3607,-0.4437
1926,5,0.4024,-0.2427
1926,6,0.5822,-0.1414
1926,7,0.4093,0.0293
1926,8,0.5159,-0.0468
1926,9,0.3655,-0.1258
1926,10,0.1853,-0.1006
1926,11,0.3086,0.0192
1926,12,0.0367,0.0692
1927,1,0.0145,0.3471
1927,2,-0.2394,0.4174
1927,3,-0.2751,0.7306
1927,4,-0.4846,0.3999
1927,5,-0.3307,0.4641
1927,6,-0.7584,0.2089
1927,7,-0.5691,0.1059
1927,8,-0.8206,0.0479
1927,9,-0.7208,-0.186
1927,10,-0.8851,0.0477
1927,11,-0.8203,0.2398
1927,12,-1.0715,0.0938
1928,1,-1.494,0.1425
1928,2,-1.3322,0.1375
1928,3,-1.546,-0.0582
1928,4,-1.4779,-0.1848
1928,5,-1.183,-0.3673
1928,6,-1.3015,-0.1178
1928,7,-1.4657,-0.1138
1928,8,-1.452,-0.1137
1928,9,-1.2091,0.0101
1928,10,-1.2855,-0.0854
1928,11,-1.0684,-0.1915
1928,12,-0.7627,-0.2507
1929,1,-0.4569,-0.5431
1929,2,-0.341,-0.4264
1929,3,-0.5627,-0.6074
1929,4,0.0519,-0.4536
1929,5,0.2501,-0.1087
1929,6,0.538,-0.0399
1929,7,0.9539,-0.0328
1929,8,0.6318,-0.0792
1929,9,1.0717,-0.0423
1929,10,1.4528,0.0158
1929,11,1.3108,0.0647
1929,12,1.9293,0.1618
1930,1,1.8952,0.3119
1930,2,2.0678,0.4375
1930,3,1.9223,0.4253
1930,4,2.1614,0.4976
1930,5,2.1941,0.5209
1930,6,2.0258,0.1897
1930,7,1.946,0.1302
1930,8,1.8355,-0.029
1930,9,1.5157,0.0089
1930,10,1.4422,-0.0023
1930,11,1.2327,0.2057
1930,12,1.0807,0.1706
1931,1,0.9215,0.0168
1931,2,0.3469,0.1092
1931,3,0.2121,-0.107
1931,4,0.1748,-0.1845
1931,5,-0.4352,-0.1601
1931,6,-0.7158,-0.2084
1931,7,-0.8181,-0.0333
1931,8,-0.96,-0.0946
1931,9,-1.301,-0.0495
1931,10,-1.2933,-0.0912
1931,11,-1.5244,-0.1945
1931,12,-1.6547,-0.2112
1932,1,-1.7917,-0.3857
1932,2,-1.5842,-0.3734
1932,3,-1.9868,-0.3142
1932,4,-2.2439,-0.4831
1932,5,-1.6558,-0.2569
1932,6,-1.8858,-0.2242
1932,7,-1.6917,-0.1028
1932,8,-1.3753,-0.0544
1932,9,-1.6525,-0.0846
1932,10,-1.421,-0.0742
1932,11,-1.2792,0.0502
1932,12,-0.9529,0.0717
1933,1,-0.5562,0.3817
1933,2,-0.3296,0.3812
1933,3,-0.1549,0.7654
1933,4,-0.2023,0.5028
1933,5,-0.1405,0.4535
1933,6,0.3979,0.1955
1933,7,0.4874,0.2818
1933,8,0.7779,0.1262
1933,9,0.9459,0.0238
1933,10,0.9726,-0.079
1933,11,1.1563,0.1044
1933,12,1.1463,0.0404
1934,1,1.2406,0.2387
1934,2,1.0851,0.1203
1934,3,1.1754,-0.0374
1934,4,1.2267,-0.3332
1934,5,1.3004,-0.2639
1934,6,1.0855,-0.1141
1934,7,1.1793,-0.0077
1934,8,1.0092,0.0561
1934,9,0.9727,-0.1274
1934,10,1.0512,-0.0146
1934,11,0.5611,-0.068
1934,12,0.5971,-0.4318
1935,1,0.5002,-0.4367
1935,2,0.3037,-0.4883
1935,3,0.4839,-0.5197
1935,4,0.6311,-0.5488
1935,5,0.4099,-0.2886
1935,6,0.4169,-0.1563
1935,7,0.4853,-0.0524
1935,8,0.4552,-0.0491
1935,9,0.1785,-0.0354
1935,10,0.3225,0.0068
1935,11,0.0609,0.0971
1935,12,-0.1547,0.1447
1936,1,-0.1988,0.2815
1936,2,-0.417,0.462
1936,3,-0.4183,0.387
1936,4,-0.4337,0.5771
1936,5,-0.3586,0.4477
1936,6,-0.3236,0.3023
1936,7,-0.8938,0.2222
1936,8,-0.7331,-0.1196
1936,9,-1.0525,-0.1579
1936,10,-0.9265,0.0507
1936,11,-1.1131,0.087
1936,12,-1.4558,0.1437
1937,1,-1.119,0.0848
1937,2,-1.4129,0.1087
1937,3,-1.4503,0.0296
1937,4,-1.5606,-0.0996
1937,5,-1.5079,-0.2061
1937,6,-1.3329,-0.3377
1937,7,-1.3892,-0.0432
1937,8,-1.2507,0.0651
1937,9,-1.1597,0.0516
1937,10,-0.9049,-0.1091
1937,11,-1.0192,-0.0954
1937,12,-1.031,-0.2303
1938,1,-0.4701,-0.3113
1938,2,-0.4821,-0.5803
1938,3,-0.0518,-0.5137
1938,4,0.0637,-0.3408
1938,5,0.2196,-0.258
1938,6,0.5283,-0.2195
1938,7,1.0042,-0.0074
1938,8,1.2528,0.0423
1938,9,1.1708,0.007
1938,10,1.3881,0.0275
1938,11,1.7095,0.041
1938,12,1.581,0.2873
1939,1,1.8899,0.2423
1939,2,1.9369,0.4077
1939,3,2.055,0.5415
1939,4,1.9143,0.6093
1939,5,1.7953,0.328
1939,6,1.6799,0.1943
1939,7,1.7432,-0.0177
1939,8,1.7262,0.0392
1939,9,1.6013,-0.0895
1939,10,1.7549,-0.002
1939,11,1.4215,0.1404
1939,12,0.8789,0.0787
1940,1,0.8237,0.1402
1940,2,0.4446,0.0316
1940,3,0.1882,0.0087
1940,4,-0.0197,-0.1003
1940,5,-0.2308,-0.2406
1940,6,-0.6433,-0.1826
1940,7,-0.6888,-0.0213
1940,8,-1.258,-0.0012
1940,9,-1.3018,-0.1118
1940,10,-1.103,0.0138
1940,11,-1.6194,-0.236
1940,12,-1.566,-0.1862
1941,1,-1.8611,-0.3541
1941,2,-1.8462,-0.487
1941,3,-1.9645,-0.483
1941,4,-1.9689,-0.4173
1941,5,-2.0134,-0.2083
1941,6,-1.7526,-0.1597
1941,7,-1.8356,-0.0217
1941,8,-1.4718,0.0658
1941,9,-1.2494,-0.0449
1941,10,-1.1782,-0.0394
1941,11,-1.0819,-0.0338
1941,12,-0.7657,0.0839
1942,1,-0.6684,0.168
1942,2,-0.2679,0.513
1942,3,-0.4711,0.6854
1942,4,-0.0408,0.653
1942,5,-0.0926,0.3177
1942,6,0.1655,0.3571
1942,7,0.7627,0.2591
1942,8,0.8432,0.0001
1942,9,0.7326,0.0081
1942,10,0.7265,-0.1319
1942,11,0.5976,0.1089
1942,12,1.0304,0.045
1943,1,1.5242,0.1377
1943,2,1.256,-0.0693
1943,3,1.1184,-0.0016
1943,4,1.267,-0.0564
1943,5,0.9431,-0.2479
1943,6,1.1,-0.26
1943,7,1.1161,-0.2773
1943,8,1.0362,-0.054
1943,9,1.1089,-0.0465
1943,10,0.9784,-0.1628
1943,11,0.9603,-0.113
1943,12,0.6883,-0.3352
1944,1,0.8572,-0.5221
1944,2,0.898,-0.5546
1944,3,0.4402,-0.4099
1944,4,0.3855,-0.3524
1944,5,0.653,-0.273
1944,6,0.3585,-0.0805
1944,7,0.5325,-0.1334
1944,8,0.1897,-0.0014
1944,9,0.4071,0.0118
1944,10,0.1392,-0.0277
1944,11,0.0858,0.0966
1944,12,0.2056,0.1066
1945,1,-0.1639,0.3551
1945,2,-0.3361,0.4988
1945,3,-0.3524,0.3073
1945,4,-0.3122,0.6342
1945,5,-0.714,0.204
1945,6,-0.4861,0.2499
1945,7,-0.7673,0.2274
1945,8,-0.6198,0.0112
1945,9,-1.2556,-0.1173
1945,10,-1.1157,-0.0587
1945,11,-1.3464,0.1697
1945,12,-1.3051,-0.0236
1946,1,-1.2211,0.212
1946,2,-1.349,0.0511
1946,3,-1.4082,-0.1404
1946,4,-1.424,-0.185
1946,5,-1.3792,-0.2666
1946,6,-1.5484,-0.0998
1946,7,-1.2548,-0.0462
1946,8,-1.2006,-0.1702
1946,9,-1.1562,-0.0323
1946,10,-1.0195,-0.1077
1946,11,-0.9233,-0.0458
1946,12,-0.5042,-0.4072
1947,1,-0.6432,-0.3077
1947,2,-0.4784,-0.5129
1947,3,-0.332,-0.5886
1947,4,-0.1486,-0.4548
1947,5,0.0526,-0.3267
1947,6,0.3426,-0.232
1947,7,0.7009,-0.033
1947,8,0.9914,-0.1022
1947,9,1.168,-0.1744
1947,10,1.2493,-0.0204
1947,11,1.6831,-0.0825
1947,12,1.8188,0.1089
1948,1,1.816,0.2416
1948,2,1.8429,0.3849
1948,3,2.0902,0.7007
1948,4,2.0675,0.5434
1948,5,1.8166,0.4674
1948,6,1.9806,0.157
1948,7,1.9501,0.093
1948,8,1.66,0.0539
1948,9,1.6737,-0.082
1948,10,1.2461,0.1014
1948,11,1.4561,-0.0087
1948,12,1.2104,0.1072
1949,1,0.7336,0.0748
1949,2,0.5602,0.0687
1949,3,-0.1306,-0.0963
1949,4,-0.2209,-0.16
1949,5,-0.3678,-0.2041
1949,6,-0.7532,-0.2278
1949,7,-0.7412,-0.066
1949,8,-0.7871,-0.0136
1949,9,-1.4792,-0.0071
1949,10,-1.6182,-0.0731
1949,11,-1.6176,-0.0855
1949,12,-1.5393,-0.318
1950,1,-2.0582,-0.4606
1950,2,-1.896,-0.5018
1950,3,-1.6828,-0.3599
1950,4,-2.1911,-0.5078
1950,5,-2.0886,-0.201
1950,6,-1.8807,-0.2815
1950,7,-1.7859,-0.0232
1950,8,-1.4498,0.122
1950,9,-1.3759,0.0391
1950,10,-1.4995,0.0236
1950,11,-0.9617,0.0169
1950,12,-0.9204,0.1716
1951,1,-0.431,0.2942
1951,2,-0.5024,0.3918
1951,3,-0.2919,0.5175
1951,4,0.0907,0.5548
1951,5,0.3205,0.3864
1951,6,0.457,0.2347
1951,7,0.3053,0.0365
1951,8,0.7897,0.0679
1951,9,0.6854,0.0436
1951,10,0.9872,0.0473
1951,11,0.8288,0.1647
1951,12,1.1789,0.1371
1952,1,1.0401,0.1531
1952,2,0.9984,0.0799
1952,3,1.3094,-0.0524
1952,4,1.2334,-0.1808
1952,5,1.0852,-0.0081
1952,6,1.3623,-0.2052
1952,7,1.0351,-0.158
1952,8,1.0539,0.0021
1952,9,1.0307,0.0201
1952,10,0.8338,-0.1511
1952,11,0.9307,-0.0594
1952,12,0.7115,-0.3067
1953,1,0.6608,-0.5249
1953,2,0.8581,-0.4151
1953,3,0.4296,-0.4456
1953,4,0.1567,-0.5018
1953,5,0.6942,-0.1204
1953,6,0.7696,-0.0774
1953,7,0.2611,-0.0414
1953,8,-0.0344,0.1232
1953,9,0.1423,0.0127
1953,10,0.0765,0.0077
1953,11,0.0186,0.0089
1953,12,-0.1961,0.2156
1954,1,-0.0227,0.3524
1954,2,-0.1163,0.4558
1954,3,-0.5093,0.4775
1954,4,-0.2751,0.5493
1954,5,-0.1712,0.4422
1954,6,-0.5559,0.1925
1954,7,-0.7371,0.0276
1954,8,-0.8133,0.0818
1954,9,-0.8042,-0.2082
1954,10,-1.2573,0.0452
1954,11,-1.0688,0.0493
1954,12,-1.2397,0.2347
1955,1,-0.9811,0.0823
1955,2,-1.3482,0.1083
1955,3,-1.12,-0.0768
1955,4,-1.5657,-0.1292
1955,5,-1.3216,-0.1263
1955,6,-1.3492,-0.2061
1955,7,-1.4912,-0.025
1955,8,-1.2734,-0.1121
1955,9,-1.0321,0.0236
1955,10,-1.1516,0.0351
1955,11,-1.2215,-0.0965
1955,12,-0.8121,-0.1458
1956,1,-0.7655,-0.4971
1956,2,-0.4837,-0.6205
1956,3,-0.2312,-0.5752
1956,4,-0.2496,-0.3478
1956,5,-0.003,-0.2227
1956,6,0.5483,-0.1219
1956,7,0.6331,-0.1304
1956,8,0.5565,0.0574
1956,9,1.2781,-0.098
1956,10,1.405,0.1026
1956,11,1.441,0.2903
1956,12,1.5104,0.1984
1957,1,1.9653,0.361
1957,2,1.9932,0.4152
1957,3,2.3653,0.3959
1957,4,2.1024,0.4907
1957,5,2.0919,0.3603
1957,6,1.9658,0.1834
1957,7,2.0334,0.2831
1957,8,1.8888,0.0585
1957,9,1.833,0.0304
1957,10,1.3861,0.004
1957,11,1.1903,0.0737
1957,12,0.9513,0.2072
1958,1,0.8901,0.1191
1958,2,0.7304,0.098
1958,3,0.162,-0.0607
1958,4,-0.1112,-0.1657
1958,5,-0.2766,-0.2978
1958,6,-0.6293,-0.3273
1958,7,-0.7056,-0.1257
1958,8,-1.4244,-0.0281
1958,9,-1.4267,-0.1029
1958,10,-1.61,-0.0415
1958,11,-2.001,-0.145
1958,12,-1.9255,-0.4716
1959,1,-2.0121,-0.5093
1959,2,-1.9635,-0.4776
1959,3,-1.7891,-0.4647
1959,4,-1.9801,-0.4929
1959,5,-2.0511,-0.2499
1959,6,-1.8257,-0.0483
1959,7,-1.5505,0.0216
1959,8,-1.7181,-0.0116
1959,9,-1.5488,-0.0374
1959,10,-1.1494,-0.0404
1959,11,-1.0722,0.0992
1959,12,-0.7367,0.1847
1960,1,-0.6242,0.3647
1960,2,-0.303,0.4652
1960,3,-0.3516,0.6062
1960,4,0.0078,0.5465
1960,5,0.1744,0.5106
1960,6,0.2074,0.3688
1960,7,0.3236,0.081
1960,8,0.8118,-0.108
1960,9,0.7879,0.1235
1960,10,0.7985,0.0493
1960,11,1.0279,-0.0496
1960,12,1.2811,0.073
1961,1,0.819,0.1835
1961,2,0.9663,0.0332
1961,3,1.0639,-0.086
1961,4,1.4164,-0.0263
1961,5,1.2197,-0.269
1961,6,1.2597,-0.2329
1961,7,0.9301,-0.0879
1961,8,0.8811,-0.0014
1961,9,1.0575,0.0397
1961,10,0.9355,0.0342
1961,11,0.9423,-0.1334
1961,12,0.7634,-0.26
1962,1,0.7642,-0.4568
1962,2,0.6774,-0.5052
1962,3,0.7023,-0.487
1962,4,0.6397,-0.3834
1962,5,0.2096,-0.2008
1962,6,0.0501,-0.0857
1962,7,0.4722,-0.037
1962,8,0.4342,-0.0687
1962,9,0.0358,0.0054
1962,10,-0.1595,0.0077
1962,11,0.0619,0.0772
1962,12,0.1105,0.3456
1963,1,0.16,0.2724
1963,2,-0.1175,0.4884
1963,3,-0.3409,0.6261
1963,4,-0.514,0.5468
1963,5,-0.4774,0.6348
1963,6,-0.6266,0.2689
1963,7,-0.8387,0.1713
1963,8,-0.4847,-0.0273
1963,9,-0.6287,-0.0281
1963,10,-0.8273,0.0487
1963,11,-1.2316,0.1552
1963,12,-1.0529,0.1556
1964,1,-1.1623,0.2225
1964,2,-1.2557,0.048
1964,3,-1.1828,-0.0716
1964,4,-1.3048,0.078
1964,5,-1.2987,-0.1537
1964,6,-1.3016,-0.2266
1964,7,-1.3097,-0.1603
1964,8,-1.5675,-0.1081
1964,9,-1.2015,0.0749
1964,10,-1.1865,-0.0678
1964,11,-1.1597,-0.1391
1964,12,-0.5572,-0.3042
1965,1,-0.3708,-0.3775
1965,2,-0.2284,-0.5779
1965,3,-0.1807,-0.5817
1965,4,0.2088,-0.3827
1965,5,0.2411,-0.2145
1965,6,0.5064,-0.1035
1965,7,0.5475,-0.1053
1965,8,1.0008,0.0502
1965,9,1.1694,-0.0595
1965,10,1.1687,-0.0318
1965,11,1.5404,-0.0138
1965,12,1.6959,0.2732
1966,1,2.1095,0.365
1966,2,2.0749,0.503
1966,3,2.0096,0.6404
1966,4,2.0767,0.7639
1966,5,2.0404,0.311
1966,6,1.9604,0.2401
1966,7,1.7485,0.0961
1966,8,1.7723,-0.0314
1966,9,1.5333,-0.0862
1966,10,1.2768,0.0048
1966,11,1.3323,-0.0098
1966,12,1.0819,0.1569
1967,1,0.5035,0.1259
1967,2,0.4873,0.094
1967,3,0.3802,-0.0044
1967,4,0.1114,-0.0901
1967,5,-0.1698,-0.2151
1967,6,-0.5866,0.0006
1967,7,-0.9752,-0.086
1967,8,-1.2492,-0.1816
1967,9,-1.2511,-0.0802
1967,10,-1.4357,-0.1779
1967,11,-1.4598,-0.1479
1967,12,-1.616,-0.3089
1968,1,-1.8947,-0.4735
1968,2,-2.1199,-0.3493
1968,3,-2.0039,-0.4517
1968,4,-1.9108,-0.3425
1968,5,-1.9268,-0.337
1968,6,-1.9038,-0.21
1968,7,-1.6699,-0.0376
1968,8,-1.6473,0.0099
1968,9,-1.5064,-0.1485
1968,10,-1.1865,-0.0045
1968,11,-1.0993,0.0629
1968,12,-0.7972,0.1519
1969,1,-0.5811,0.2492
1969,2,-0.5792,0.4115
1969,3,-0.2686,0.5265
1969,4,0.2252,0.5462
1969,5,0.0317,0.4962
1969,6,0.0723,0.3856
1969,7,0.2789,0.1218
1969,8,0.7133,0.0001
1969,9,0.8452,0.035
1969,10,0.9342,0.0776
1969,11,1.2245,0.0528
1969,12,0.711,0.1933
1970,1,1.2205,0.2001
1970,2,1.425,0.1589
1970,3,1.0331,0.0972
1970,4,1.1402,-0.2076
1970,5,1.0644,-0.1841
1970,6,1.0104,-0.1682
1970,7,1.0522,-0.1126
1970,8,1.2632,-0.0846
1970,9,1.2659,-0.1188
1970,10,0.8764,-0.0313
1970,11,1.1458,-0.2107
1970,12,0.7969,-0.2923
1971,1,0.9856,-0.4996
1971,2,0.6397,-0.5982
1971,3,0.6053,-0.4769
1971,4,0.5735,-0.3885
1971,5,0.9294,-0.2162
1971,6,0.5149,0.0448
1971,7,0.2158,-0.0184
1971,8,0.4014,0.0348
1971,9,0.1346,-0.0862
1971,10,0.046,-0.093
1971,11,0.1833,0.1884
1971,12,-0.0245,0.0952
1972,1,-0.0679,0.2308
1972,2,-0.1929,0.4515
1972,3,-0.2346,0.5335
1972,4,-0.3163,0.4667
1972,5,-0.7697,0.4234
1972,6,-0.4817,0.3975
1972,7,-0.8338,0.0809
1972,8,-1.0084,-0.0749
1972,9,-0.9052,0.0754
1972,10,-0.9851,0.0681
1972,11,-1.1975,0.0379
1972,12,-1.0565,0.0035
1973,1,-1.4596,0.0622
1973,2,-1.3832,0.0512
1973,3,-1.4579,0.0482
1973,4,-1.4071,-0.2212
1973,5,-1.3679,-0.192
1973,6,-1.5483,-0.1151
1973,7,-1.2522,-0.2953
1973,8,-1.2905,0.0501
1973,9,-1.4978,-0.0946
1973,10,-1.3968,-0.0121
1973,11,-0.9696,-0.1295
1973,12,-0.8426,-0.2124
1974,1,-0.6457,-0.392
1974,2,-0.4365,-0.7004
1974,3,-0.1852,-0.5584
1974,4,0.1484,-0.3896
1974,5,0.0726,-0.2782
